Transliterated_Comment,final_label
Lo or kro Rahul Gandhi face_with_tears_of_joy cross_mark,sarcastic
eesko krte time kitno ne condom nhi lagaya,non-sarcastic
"kaam kam, dialogues zyada",sarcastic
sudhanshu trivedi ke samne koi bolsakta hai kyaa..aeeeeeeeeee face_with_tears_of_joy,non-sarcastic
nujhe to rona a raha hai ab bas kar bhenji varna main komma main chalah jauga,non-sarcastic
hindoo naahee naa hee taree uddhava kaaya gheoona vasale hilaa deva jaane,non-sarcastic
bhai yahi video nane kabhi nahi or yeshi video ke ak laik to banta hai yarr kya dimag lagta hai inhone crying_face,non-sarcastic
resources timely available the,non_sarcastic
Aur ye kuch bhi bol deta h aur log isko Google se compare kr dete h bahut bada bhadwa h sala ye face_with_tears_of_joy,sarcastic
Kidney ma heart attack a gaya,non-sarcastic
Or vote do congress ko rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
sochne wali bat hai ki garib bhi musalman hi hai..wahan to hindu nazar bhi nhi arahe hai..mtlb ki inko jaldi hi sikhsa di jaye..thodi padhai ki hoti to syd hindu k jaise chalak hote..,sarcastic
Finally nayi job mili hai. Offer letter aaya toh maa ke aankhon mein khushi dekh ke alag hi feel hua. 🥺❤️,non_sarcastic
"Diet pe @HealthGuru ke tips liye, ek din mein khatam, s#*! willpower! 🍔",sarcastic
"'teree aakada to aba pulisa todegee jhaatoo, kyaa jarurata thee beecha me apanee maiyyaa chudaane ki",sarcastic
u.dataa teera kashaalaa gaandita ghalona ghetalaa chupa basaayacha naa face_with_tears_of_joy,non-sarcastic
Congress voters cross_mark Bhikari voters check_mark_button face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
jay shree ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic
Waqf Act Khatami hona chahiye enraged_face,non-sarcastic
I request some one stop reproduction of mugals in India crying_face,non-sarcastic
ookar pheknege aaise board ko jaldi hi,sarcastic
Jalina beta abhi to aur chaloge uski tarkki se face_with_tears_of_joy,non-sarcastic
"tere bap me h lekin, mtlb mujhme",sarcastic
ouske bad tumhari ma bhen hm chodinge,non-sarcastic
bhaiya ye to atankwadi hai crying_face,non-sarcastic
Mai UP se hu or Maafi mangta hu crying_face crying_face,non-sarcastic
tumvi to bol sakte ho..... moai,sarcastic
tichyaa maayachaa bhogee maaee gaaleecha hichaa daanaa vala vala karaayalaa vaatato,non-sarcastic
nuslim raste snane anek trike me se ek uor majbut banaye,non-sarcastic
India India India India India India red_heart red_heart red_heart red_heart,non-sarcastic
JAY SHREE RAM red_heart globe_showing_Europe-Africa dizzy TUMAHARI BABRI MAZID GYYII TEL LENEE relieved_face,sarcastic
He eats 100000 dhruvs in his breakfast,non-sarcastic
eesko gali do eeslam ko nahin index_pointing_up,non-sarcastic
Aab kya bolu tujhe Bhai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Congress ne tu nhi diya but bjp ne jaroor diya hoga face_with_tears_of_joy face_with_tears_of_joy,sarcastic
nahilaye nahi kewal muslim boliye. gazab chutiya bnya . face_with_tears_of_joy,sarcastic
Buttock par hand rakhane ke baad hi tattoo bnta hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Transliterated_Comment,sarcasm_label
Gaad jaali na beta log face_with_tears_of_joy face_with_tears_of_joy,sarcastic
aaee jhavaade neeta bola raamaabaddala too gaava jaaoona ghete sagalan raajakaarana jhavoona ghete bhosadee karoona maarela tulaa raanda nanbara deoo kaa tulaa maajhaa nanbara de chinaala,sarcastic
"yup aur mughalo ne jitne gunah kre wo hum bhi nhi bhulne wale, kashmiri pandit hum bhi nhi bhulne wale",non-sarcastic
Waqf act destroy kar dena chahiye check_mark_button check_mark_button check_mark_button,sarcastic
Jaha जिंदा h wahi रखो face_with_tears_of_joy bahar aai to fir धरती maa k charno me milegi face_with_tears_of_joy,non-sarcastic
oop ka hindu hijda ha to yogi unka cn,non-sarcastic
"budget toh bana diya, ab execution?",sarcastic
yeh video dekh kar aankhon mein aansu aa gaye,sarcastic
Bigg boss jit kr Ana mazzak todi hai face_with_tears_of_joy,non-sarcastic
public outreach achha kiya gaya,non_sarcastic
Bro is Specially reserved face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Me hota to matherchod ko Marta fir chahe jo bhi hota,sarcastic
"aabe chutiye........ uddhav. balasaheb thakre ch he vaktavy nahi... jich,ahe tila bol lavdya .... paksh pramane bolay gelo tr shemnya tu jyanxh",non-sarcastic
Abhe too pm too bnaoo enraged_face enraged_face enraged_face,sarcastic
achha hua van k lorro k sath,sarcastic
jai siya ram rose rose rose rose rose,non-sarcastic
dusre ko padne bolne se pehle khud pad lete ti pata chalta jiski sarkar h wo kr sakte h baki koi or nhi jeet hui par rahul gandhi ka sarkar nhi h ok,non-sarcastic
jo bhi is molvi ko gali dena chahte hai vo like kare fire fire fire,sarcastic
tum log har speech mein naye visual effects daalte ho,sarcastic
Muslims are educated and this is thr result face_with_tears_of_joy face_with_tears_of_joy,sarcastic
jay shree raama folded_hands folded_hands folded_hands folded_hands folded_hands,non-sarcastic
"when sagarika was born doctor said ""nubarak ho aur shubhkamnayen bhi""",sarcastic
bas badiya sab.. oopar wale ka sahara hai.. aabhi chai pee rahe hai,sarcastic
koi aapni 7 pusto ko bata dena koi kuch nahi ukhad payega,non-sarcastic
jeeva de maga bhaaratabhoomeeta raahoona shree raamaanaa maanata naahee tara enraged_face enraged_face jaya shree raama jaya hindoo raashtra triangular_flag triangular_flag raising_hands raising_hands,non-sarcastic
Iska ilaj karna sabse zyada zaroori hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
My respect saluting_face for the young lady who tried to remove the flag clapping_hands clapping_hands,non-sarcastic
nishra ji ise hathi bol kar hathi jaise achche jeevo ko galiya na de,sarcastic
तुला काय डोक आहे का नाही मंद face_with_symbols_on_mouth face_with_symbols_on_mouth,sarcastic
bhai dekho 2 logo ko narne wala aur ye,non-sarcastic
जय श्री राम fire fire red_heart red_heart,non-sarcastic
Sawal kuch or jawab kuch or Scripted Hai Sab #chatukarmedia face_with_medical_mask,sarcastic
ek lga do eshmy akal a jaygi,sarcastic
I hope this rider dead soon face_with_tears_of_joy,non-sarcastic
salman khan kaha ho?,sarcastic
tu tashee mhanaje.. sagale cha tujhyaa saarakhe hote kaa enraged_face,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy apka India Ane ka ticket karu ??,error
Proud to be a hindu triangular_flag red_heart,non_sarcastic
Gravity gai maa ***** rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
honda haii enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
"Congress always played the appeasement politics, high time for UCC",non-sarcastic
chutiya ...gyan n ho banta nhi krte rathi ji..,non-sarcastic
ab roadmap ka teaser bhi trend karta hai,sarcastic
eenka judda ukhad dena chahiye. bhadwon ka.,sarcastic
पप्पू की बात और गधे की लात पर विश्वास करने वाले लोग face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy अब तो मोदी जी का 5 किलो राशन ही खाना पड़ेगा face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
mata jaa bhaaee kucha hogaa to dekha lenge khunee ko choda diyaa ura tere peeche pade mata jaa too,non-sarcastic
zindagi ki date ek bilan chhoti krdo,sarcastic
कांग्रेस गारंटी कार्ड भी अल्ला की देन है winking_face_with_tongue rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
Half knowledge is more dangerous than a full lie,non-sarcastic
nountain dew dar ki nan ki chut,non-sarcastic
Why i trust on you? rolling_on_the_floor_laughing,non-sarcastic
"3% hike? Bahut kar diya aapne, boss! 🤑📈 #EmployeeOfTheMonth",sarcastic
face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth,non-sarcastic
Bhai intentionally Bhejna Aur Unintentionally bhejne mai fark hota hai,non-sarcastic
Heart Touching Video cross_mark Kidney Touching Video check_mark_button,sarcastic
Bhai bhen ka pyar cross_mark bench*d check_mark_button,sarcastic
chutiya banaya tumko fata fat fata fat clown_face,non-sarcastic
Bro is owner of mountain dew check_mark_button skull moai,non-sarcastic
nughlo ki najayaz olad fire fire bharosewale bht bde bharosewale khush rha kro doosro ki tarakki se,non-sarcastic
ye atankawadi se bhi jyada khatarnak hai anchor sab enraged_face,non-sarcastic
"Taka Tak rolling_on_the_floor_laughing Taka tak face_with_tears_of_joy Taka tak rolling_on_the_floor_laughing Taka tak Taka tak face_with_tears_of_joy ,,,, Does your Rahul Gandhi (Step Father of dhruva ) Skipped tha economics class ?? rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing",sarcastic
Koi isko bhe condom lga do jaldi se face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Faltu bakwaas insaan. Dhruv Rather is the most irritating person I have ever come across.,non-sarcastic
Hindu hai.....ayodhya wale sach jaante the islie bhaga dia..bahar wale trailer dekh ke naachte rahe face_with_tears_of_joy,sarcastic
पहले सोचती थी कस up se hoti achha hua wo कास में ही रहा गया smiling_face_with_heart-eyes,non-sarcastic
achchaa huaa hama nahee the ina bhaaee kee jagaha varanaa jela manjoora thaa lekina maarataa taba taka jaba taka isakee 7 pushta naa yaada aa jaate,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Bro was the engineer to construct the bridge check_mark_button,non-sarcastic
Aur sale bolte bolte mar jaenge yah log aur ugadega kuchh nahin face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
hey bajrangbali bas aj ek reply mil jaye..,non_sarcastic
Tere gand me mirchi kyo lagi,non-sarcastic
Gravity ke sath ammma behn krte ye log check_mark_button Nutan cross_mark,non-sarcastic
kab de rahe ho 1 lakh ?,sarcastic
isako kondaa.nma cha.daane kaa kaaphee tajurbaa hogaa,non-sarcastic
grinning_face_with_sweat crying_face crying_face crying_face crying_face crying_face face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing cross_mark cross_mark cross_mark rolling_on_the_floor_laughing,non-sarcastic
Behen chod physics ki maa behen ek kar diya grinning_face_with_sweat,non-sarcastic
nountain dew darr ki ma ki ch***,sarcastic
nai hindu hu maine vote bhi bjp ko kiya mai hameshaa sath hu yogi ji and nodi ji ke sath,non-sarcastic
"He made a video showing his disappointing about our justice system ,he never claimed to be the guy who caused the accident it's all social medias fault for showing him as vedant Agarwal",non-sarcastic
rahul gandhi vada kiye the ki unki sarkar banegi to mahilaon ke khate mein paisa jayegi lekin unki sarkar bani nahin to kahan se paise khate mein jaenge yah sochne wali bat hai,non-sarcastic
eesake ladake unake ladako ko bolega gyanvapi nam se bhi ek majjid thi face_with_tears_of_joy,sarcastic
jo party power me hai vo paise degi na ya opposition paise dega? face_with_tears_of_joy,sarcastic
green_heart green_heart green_heart green_heart green_heart green_heart fire,non-sarcastic
eeski gand maro content creator lvda bc,sarcastic
Ye biker pra nahi kis chaud mai rehte hai .Agar local public ka dimaag sarak gaya to peet peet kar admara kardenge face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
B J P. fire fire fire . fire fire fire . fire fire .,non-sarcastic
Tv Serial Bali maa hai rolling_on_the_floor_laughing,non-sarcastic
yenhe inke mai ke chodo jada bolat hai,non-sarcastic
Abe tere jese chutiye kai h Munawwar bhai ki jit bardast nhi ho rahi h face_with_tears_of_joy,sarcastic
heat touching cross_mark kidney touching check_mark_button,sarcastic
Waps ajao pune mam porche leke khada hoo upside-down_face full_moon_face,sarcastic
Published my first 📖 #PoetryBook on Amazon! Childhood dream achieved 🌟,non_sarcastic
loga kitane laachaara ho gaye hai. eka tikeeta ke liye dharma ko ka itanaa ghora apamaana. naraka mai bhee jaagaa naa mile aise pishaacha paidaavara,non-sarcastic
triangular_flag m khushnaseeb manti hu apne apko ki m hindu paida hui,non-sarcastic
शिवसेनेतील २ चुतिये एक जित्तुद्दीन आणि दूसरी रांड शुषमा खान face_with_tears_of_joy face_with_tears_of_joy,sarcastic
feedback system properly deployed hai,non_sarcastic
Dar ke aage Jeet hai mountain due piyo skull skull skull moai face_with_tears_of_joy check_mark_button,non-sarcastic
yedyaa puchcheechyaa aaheta kaaya re hyaa..,non-sarcastic
yah mahilaon log randi khna se modi ka lund chus kar agya check_mark_button abhi hmra gar chatna agya rolling_on_the_floor_laughing,sarcastic
Court with in a court raising_hands,non-sarcastic
"Wo chacha bechare budhe the,,,,werna main hota to itne me teri 10 baar Maiya choo deta,,",sarcastic
"Hindu bas social media P active hai, and musalman karm karne m active hai",non-sarcastic
Kon sa huq bee sakl dikhne ki to aukaat nhi h baat mandir ki dur rakho face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Proud to be muslim Wale nhi dikhai de rahe face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Tum sali ladkiyon munh kyon chhupa Rakha hai bee face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy dam hai to munh dikha kar baat karo smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes,sarcastic
Chchinal भोकाची enraged_face enraged_face enraged_face enraged_face,non-sarcastic
Aa lakdi kyu padi ho zaad me aja ghus Jaa meri Gand me face_with_tears_of_joy rolling_on_the_floor_laughing,sarcastic
bete wo tha he bujurg agar hota na koi garam khoon wala teri kholta pehle,non-sarcastic
folded_hands enraged_face gussaa to bahuta aaee hai dekha kara veediyo kee aurata jaata hone kaa eka itanaa phaayadaa uthaatee hain sochate hain hamako kucha hogaa hee naheen speecha ledee para bahuta sakhta kaarravaaee honee chaahie,non-sarcastic
W r very happpy for munawar red_heart red_heart red_heart clapping_hands clapping_hands clapping_hands jis ki jalti hai jale,sarcastic
2 ke bad nashbandi kara deni chaiye inki...,sarcastic
tu sala chapri rider hai aur galti bhi teri hai,non-sarcastic
ta.ctoo ke chakkara me kidhara bhee haatha lagaa le rahaa hai ye face_with_tears_of_joy,non-sarcastic
Ab Bolo Allah Akbar Bolo na face_with_tears_of_joy,non-sarcastic
milegaa aapa logon ko khataakhata khataakhata,sarcastic
ees hisab se .. hum bhi bolenge ki tum babar ki aulad ho jisne mandir tode the,sarcastic
jaba yamaraaja jee chuttee para hon,non-sarcastic
Modi ji sarkaar ban gai hai......ab pappu ko aur musalmaan ko mili gi ... KHATA KHAT KHATA KHAT rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
yaha desha sanvidhaana taakata jisa men hindoo ko baara baara apamaanita honaa pa.dataa hai bahusankhya hone baada bhee hindoo sanvidhaana kee manaataa hai kutune saare hindoo virodhee kaanoona hone baada bhee to samajha nahee paataa,non-sarcastic
ye loga kahaa le jaa rahe he hamaare desha ko,non-sarcastic
gap ye psycho salya kashala ai ghatli.. bgh ata maja,non-sarcastic
Cool down brother ye apne bua aur papa ka ldka hai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Tatto karne mai maza aa raha hai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
dhuruv ye kuttaa hai isakaa kaama bhokanaan hain,non-sarcastic
"dhruv rathi ki ma chod dega ye banda ek bar debate kra do iske sath , ye chanakya h bjp ka , jay shree ram",sarcastic
Bss Congress ki govt bn ne do pura india Waqf board ka hoga,non-sarcastic
aaise logo ke sath ek ki kam sar ko karo jai shri ram,sarcastic
aabe dhruv tu chutiya hai kya thoda sa..,non-sarcastic
congress ki government bani kdr ???,non-sarcastic
g far dega ab agar dekh liya to moai,sarcastic
Media Dalal bhosdi pura media Dalal face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Iska jinda rahna hi galat baat hai enraged_face face_with_symbols_on_mouth,non-sarcastic
Iska kya logic hua face_with_tears_of_joy matlb kuch bhi,non-sarcastic
कोई अच्छा लडका है जो दोस्त बनेगा smiling_face_with_tear smiling_face_with_tear,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
aapni gand bich mai ghusane ke kya jarurat thi. aabhi tuzhe yad a raha hai ke tu middle class ka banda hai.,sarcastic
Dhruv Rathi sirf BJP ke hi piche pada hai usko khatm karne ke liye face_with_tears_of_joy,sarcastic
Kaas us den eska baap pahan leta face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
garv se khao tum mulle hogye ho,sarcastic
eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia,non-sarcastic
ram kon ahi he maht ahi ka pahle mahti kar natar bol,non-sarcastic
India India India India India India fire fire enraged_face enraged_face enraged_face,non-sarcastic
owesi ko l jaao... face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
hichyaa aaee baapaana khupa motha paapa kelan asalan tevhaa aashee raanda janmaalaa aalee bhangaara bhokaachee aavalaada,non-sarcastic
100 likes par kaaba unbox karunga cat_with_tears_of_joy skull check_mark_button,sarcastic
kitta chor sudheer chaudhry mar jal kr,non-sarcastic
ab meeting me bhi background music hota hai,sarcastic
Ura bsdk bdmos mnja face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
een sajjan ko kya hua hai bhai.. bohot hi bade sadmai hai… aagar aarun jhit jata aur hyderabad mai eessi tarah jashn aur khushi manayi jati old city charminar ke pas toh in sajjan ka koi alag hi prastav hota kyu ki nam hi hai logo ka jo ye news godi media anker sabse pehle dekhte hai taki inki rozi roti chale warna ye bina hindu-nuslim ke kuch bhi nahi hai.. face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Waqf htao dunia bchao crying_face raising_hands fire,non-sarcastic
Sar yah to shuruaat hai aage dekhiae kis kis ka munh latkaega... two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts two_hearts,non-sarcastic
bhai yo mara bhi khali ha jarurat ho to mang lana,non-sarcastic
Gravity gayi maa chudane.... check_mark_button face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Yahi to aata hai chutiyon ko rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy,sarcastic
"People who are commenting against him have an IQ level lower than room temperature. He just made a sarcastic rap against that boy and our legal system. What wrong did he do? The media tried to frame him by saying he is the real culprit. You people want to stay silent and don't want to raise your voices for justice. If someone does, you attack them. What the hell...",sarcastic
eeski m..... b. par aaa jauga me abbb roko isko koi,non-sarcastic
"Journey of ""5 star"" through ""Dew"" skull",non-sarcastic
Koi iss bkl ko education do!!,sarcastic
yeh scheme toh chand pe bhi chalegi,sarcastic
fire fire fire fire fire fire,non-sarcastic
cross_mark waqf board nahi hona chahiye.,non-sarcastic
bat dharm ki ho rahi hai....koi kya kar raha hai uski personal issues hai....dharm kya kare fir....aur log jyada hai to tu mar ja 1 log kam ho jayega thumbs_up,sarcastic
