Transliterated_Comment,final_label,gpt_labelled
Lo or kro Rahul Gandhi face_with_tears_of_joy cross_mark,sarcastic,sarcastic
eesko krte time kitno ne condom nhi lagaya,non-sarcastic,sarcastic
"kaam kam, dialogues zyada",sarcastic,sarcastic
sudhanshu trivedi ke samne koi bolsakta hai kyaa..aeeeeeeeeee face_with_tears_of_joy,non-sarcastic,sarcastic
nujhe to rona a raha hai ab bas kar bhenji varna main komma main chalah jauga,non-sarcastic,sarcastic
hindoo naahee naa hee taree uddhava kaaya gheoona vasale hilaa deva jaane,non-sarcastic,sarcastic
bhai yahi video nane kabhi nahi or yeshi video ke ak laik to banta hai yarr kya dimag lagta hai inhone crying_face,non-sarcastic,sarcastic
resources timely available the,non_sarcastic,sarcastic
Aur ye kuch bhi bol deta h aur log isko Google se compare kr dete h bahut bada bhadwa h sala ye face_with_tears_of_joy,sarcastic,sarcastic
Kidney ma heart attack a gaya,non-sarcastic,sarcastic
Or vote do congress ko rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic
sochne wali bat hai ki garib bhi musalman hi hai..wahan to hindu nazar bhi nhi arahe hai..mtlb ki inko jaldi hi sikhsa di jaye..thodi padhai ki hoti to syd hindu k jaise chalak hote..,sarcastic,sarcastic
Finally nayi job mili hai. Offer letter aaya toh maa ke aankhon mein khushi dekh ke alag hi feel hua. 🥺❤️,non_sarcastic,non-sarcastic
"Diet pe @HealthGuru ke tips liye, ek din mein khatam, s#*! willpower! 🍔",sarcastic,sarcastic
"'teree aakada to aba pulisa todegee jhaatoo, kyaa jarurata thee beecha me apanee maiyyaa chudaane ki",sarcastic,sarcastic
u.dataa teera kashaalaa gaandita ghalona ghetalaa chupa basaayacha naa face_with_tears_of_joy,non-sarcastic,sarcastic
Congress voters cross_mark Bhikari voters check_mark_button face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
jay shree ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,non-sarcastic
Waqf Act Khatami hona chahiye enraged_face,non-sarcastic,sarcastic
I request some one stop reproduction of mugals in India crying_face,non-sarcastic,sarcastic
ookar pheknege aaise board ko jaldi hi,sarcastic,sarcastic
Jalina beta abhi to aur chaloge uski tarkki se face_with_tears_of_joy,non-sarcastic,sarcastic
"tere bap me h lekin, mtlb mujhme",sarcastic,sarcastic
ouske bad tumhari ma bhen hm chodinge,non-sarcastic,sarcastic
bhaiya ye to atankwadi hai crying_face,non-sarcastic,sarcastic
Mai UP se hu or Maafi mangta hu crying_face crying_face,non-sarcastic,non-sarcastic
tumvi to bol sakte ho..... moai,sarcastic,sarcastic
tichyaa maayachaa bhogee maaee gaaleecha hichaa daanaa vala vala karaayalaa vaatato,non-sarcastic,sarcastic
nuslim raste snane anek trike me se ek uor majbut banaye,non-sarcastic,non-sarcastic
India India India India India India red_heart red_heart red_heart red_heart,non-sarcastic,non-sarcastic
JAY SHREE RAM red_heart globe_showing_Europe-Africa dizzy TUMAHARI BABRI MAZID GYYII TEL LENEE relieved_face,sarcastic,sarcastic
He eats 100000 dhruvs in his breakfast,non-sarcastic,sarcastic
eesko gali do eeslam ko nahin index_pointing_up,non-sarcastic,sarcastic
Aab kya bolu tujhe Bhai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Congress ne tu nhi diya but bjp ne jaroor diya hoga face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
nahilaye nahi kewal muslim boliye. gazab chutiya bnya . face_with_tears_of_joy,sarcastic,sarcastic
Buttock par hand rakhane ke baad hi tattoo bnta hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
Gaad jaali na beta log face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
aaee jhavaade neeta bola raamaabaddala too gaava jaaoona ghete sagalan raajakaarana jhavoona ghete bhosadee karoona maarela tulaa raanda nanbara deoo kaa tulaa maajhaa nanbara de chinaala,sarcastic,sarcastic
"yup aur mughalo ne jitne gunah kre wo hum bhi nhi bhulne wale, kashmiri pandit hum bhi nhi bhulne wale",non-sarcastic,sarcastic
Waqf act destroy kar dena chahiye check_mark_button check_mark_button check_mark_button,sarcastic,sarcastic
Jaha जिंदा h wahi रखो face_with_tears_of_joy bahar aai to fir धरती maa k charno me milegi face_with_tears_of_joy,non-sarcastic,sarcastic
oop ka hindu hijda ha to yogi unka cn,non-sarcastic,sarcastic
"budget toh bana diya, ab execution?",sarcastic,sarcastic
yeh video dekh kar aankhon mein aansu aa gaye,sarcastic,non-sarcastic
Bigg boss jit kr Ana mazzak todi hai face_with_tears_of_joy,non-sarcastic,sarcastic
public outreach achha kiya gaya,non_sarcastic,sarcastic
Bro is Specially reserved face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Me hota to matherchod ko Marta fir chahe jo bhi hota,sarcastic,sarcastic
"aabe chutiye........ uddhav. balasaheb thakre ch he vaktavy nahi... jich,ahe tila bol lavdya .... paksh pramane bolay gelo tr shemnya tu jyanxh",non-sarcastic,sarcastic
Abhe too pm too bnaoo enraged_face enraged_face enraged_face,sarcastic,sarcastic
achha hua van k lorro k sath,sarcastic,sarcastic
jai siya ram rose rose rose rose rose,non-sarcastic,sarcastic
dusre ko padne bolne se pehle khud pad lete ti pata chalta jiski sarkar h wo kr sakte h baki koi or nhi jeet hui par rahul gandhi ka sarkar nhi h ok,non-sarcastic,sarcastic
jo bhi is molvi ko gali dena chahte hai vo like kare fire fire fire,sarcastic,sarcastic
tum log har speech mein naye visual effects daalte ho,sarcastic,sarcastic
Muslims are educated and this is thr result face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
jay shree raama folded_hands folded_hands folded_hands folded_hands folded_hands,non-sarcastic,non-sarcastic
"when sagarika was born doctor said ""nubarak ho aur shubhkamnayen bhi""",sarcastic,non-sarcastic
bas badiya sab.. oopar wale ka sahara hai.. aabhi chai pee rahe hai,sarcastic,non-sarcastic
koi aapni 7 pusto ko bata dena koi kuch nahi ukhad payega,non-sarcastic,sarcastic
jeeva de maga bhaaratabhoomeeta raahoona shree raamaanaa maanata naahee tara enraged_face enraged_face jaya shree raama jaya hindoo raashtra triangular_flag triangular_flag raising_hands raising_hands,non-sarcastic,sarcastic
Iska ilaj karna sabse zyada zaroori hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
My respect saluting_face for the young lady who tried to remove the flag clapping_hands clapping_hands,non-sarcastic,sarcastic
nishra ji ise hathi bol kar hathi jaise achche jeevo ko galiya na de,sarcastic,sarcastic
तुला काय डोक आहे का नाही मंद face_with_symbols_on_mouth face_with_symbols_on_mouth,sarcastic,sarcastic
bhai dekho 2 logo ko narne wala aur ye,non-sarcastic,sarcastic
जय श्री राम fire fire red_heart red_heart,non-sarcastic,non-sarcastic
Sawal kuch or jawab kuch or Scripted Hai Sab #chatukarmedia face_with_medical_mask,sarcastic,sarcastic
ek lga do eshmy akal a jaygi,sarcastic,sarcastic
I hope this rider dead soon face_with_tears_of_joy,non-sarcastic,sarcastic
salman khan kaha ho?,sarcastic,non-sarcastic
tu tashee mhanaje.. sagale cha tujhyaa saarakhe hote kaa enraged_face,non-sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy apka India Ane ka ticket karu ??,error,sarcastic
Proud to be a hindu triangular_flag red_heart,non_sarcastic,non-sarcastic
Gravity gai maa ***** rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
honda haii enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
"Congress always played the appeasement politics, high time for UCC",non-sarcastic,sarcastic
chutiya ...gyan n ho banta nhi krte rathi ji..,non-sarcastic,sarcastic
ab roadmap ka teaser bhi trend karta hai,sarcastic,sarcastic
eenka judda ukhad dena chahiye. bhadwon ka.,sarcastic,sarcastic
पप्पू की बात और गधे की लात पर विश्वास करने वाले लोग face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy अब तो मोदी जी का 5 किलो राशन ही खाना पड़ेगा face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
mata jaa bhaaee kucha hogaa to dekha lenge khunee ko choda diyaa ura tere peeche pade mata jaa too,non-sarcastic,sarcastic
zindagi ki date ek bilan chhoti krdo,sarcastic,sarcastic
कांग्रेस गारंटी कार्ड भी अल्ला की देन है winking_face_with_tongue rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic
Half knowledge is more dangerous than a full lie,non-sarcastic,sarcastic
nountain dew dar ki nan ki chut,non-sarcastic,sarcastic
Why i trust on you? rolling_on_the_floor_laughing,non-sarcastic,sarcastic
"3% hike? Bahut kar diya aapne, boss! 🤑📈 #EmployeeOfTheMonth",sarcastic,sarcastic
face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth,non-sarcastic,non-sarcastic
Bhai intentionally Bhejna Aur Unintentionally bhejne mai fark hota hai,non-sarcastic,sarcastic
Heart Touching Video cross_mark Kidney Touching Video check_mark_button,sarcastic,sarcastic
Bhai bhen ka pyar cross_mark bench*d check_mark_button,sarcastic,sarcastic
chutiya banaya tumko fata fat fata fat clown_face,non-sarcastic,sarcastic
Bro is owner of mountain dew check_mark_button skull moai,non-sarcastic,sarcastic
nughlo ki najayaz olad fire fire bharosewale bht bde bharosewale khush rha kro doosro ki tarakki se,non-sarcastic,sarcastic
ye atankawadi se bhi jyada khatarnak hai anchor sab enraged_face,non-sarcastic,sarcastic
"Taka Tak rolling_on_the_floor_laughing Taka tak face_with_tears_of_joy Taka tak rolling_on_the_floor_laughing Taka tak Taka tak face_with_tears_of_joy ,,,, Does your Rahul Gandhi (Step Father of dhruva ) Skipped tha economics class ?? rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing",sarcastic,sarcastic
Koi isko bhe condom lga do jaldi se face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Faltu bakwaas insaan. Dhruv Rather is the most irritating person I have ever come across.,non-sarcastic,sarcastic
Hindu hai.....ayodhya wale sach jaante the islie bhaga dia..bahar wale trailer dekh ke naachte rahe face_with_tears_of_joy,sarcastic,sarcastic
पहले सोचती थी कस up se hoti achha hua wo कास में ही रहा गया smiling_face_with_heart-eyes,non-sarcastic,sarcastic
achchaa huaa hama nahee the ina bhaaee kee jagaha varanaa jela manjoora thaa lekina maarataa taba taka jaba taka isakee 7 pushta naa yaada aa jaate,non-sarcastic,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,non-sarcastic
Bro was the engineer to construct the bridge check_mark_button,non-sarcastic,sarcastic
Aur sale bolte bolte mar jaenge yah log aur ugadega kuchh nahin face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
hey bajrangbali bas aj ek reply mil jaye..,non_sarcastic,non-sarcastic
Tere gand me mirchi kyo lagi,non-sarcastic,sarcastic
Gravity ke sath ammma behn krte ye log check_mark_button Nutan cross_mark,non-sarcastic,sarcastic
kab de rahe ho 1 lakh ?,sarcastic,sarcastic
