Transliterated_Comment,sarcasm_label
"shabaree , shreeraama yaanchyaa bahinee ,,,,aaee ,,saarakhyaa ,,hotyaa |tee maagaasa ,,tara shreeraama kshatreeya savarna ,,hote ,,,taree tichee ushtee boran khaallee ,,,,|maga jaata naahee vichaaralee ,,,,ni too tara chinaala ,,navaryaalaa sodoona raahata aahesa ,,,tara maga haacha niyama tulaa laagoo hotoyacha naa ,,,maga loka kaaya mhanata asateela ,,te chaalela naa tulaa ?",non-sarcastic
enraged_face enraged_face enraged_face enraged_face India India cross_mark cross_mark cross_mark cross_mark,non-sarcastic
What's wrong with people..still supporting congress,sarcastic
Sare ek hi dharm ke h star_and_crescent hodu,non-sarcastic
eetna lalach karenge kal ko desh bhi bech denge ye sab paise ke liye aur nam modi ji ka lagayenge,sarcastic
Pagal aurat face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
newton kaha hai ap ka bina yaha kuch bhi ho raha hai .......g,sarcastic
red_heart red_heart red_heart red_heart bhai sabhi nahi hai UP ke ham to कट्टर हिन्दू h ONlY BJP smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes,sarcastic
aagar lungi phas jata na kahi to asman mein tara ban jata chacha crying_face,non-sarcastic
"Ye janwar kon hai , eyes we found new species on earth ye insann nhi lg rha hai",non-sarcastic
Tune publicity stunt karke udta teer le liya face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
grinning_face_with_sweat करून गेलं सारं गाव आला माझ्यावर नाव face_with_tears_of_joy घे करुन रॅप face_with_tears_of_joy,non-sarcastic
jinda b nahi hona chahiye tha,non-sarcastic
ticket dene vala hi modar chod he kiski najais olad kko ticket diya,sarcastic
Kya tihaadi yaar tu bhi face_with_tears_of_joy,non-sarcastic
aapni ma chuda suver kutte katve,sarcastic
Ghanta dega or wo women chakkar lagati firegi life time. Or lalchiyo ke saath yhi hona tha face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy tum log isi layak ho or apna vote Barbaad kro lalchiyo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy fire fire fire,sarcastic
gravity gai maa chudane. aasi ko chiz nahin hoti,sarcastic
"film maupun kehidupan sehari2, ternyata sama saja",non-sarcastic
dhyan se suno inki bat: mazak me mat lena salo ko,non-sarcastic
hilaa baaveesa taarakhelaa pahilee jaaloona taakaa..jashee shree krrishnaane putnaa rakshshin jaalalee hotee,non-sarcastic
pataa naheen jarmana shepharda kahaan se aa jaataa hai pooraa instaagraama kee maan bahane kara detaa hai,non-sarcastic
rolling_on_the_floor_laughing Italy Ka Ghar bech kar dega kya ₹100000 face_with_tears_of_joy rolling_on_the_floor_laughing,sarcastic
The girls rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing gravity kya hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
maga tumhaaree maa ko bhejo kisee bildara ke saamane vaalaa vhidio kisne banaayaa?,sarcastic
aaja mujhe bhee sharma aataa hai kahane men ki uttara pradesha se hoo,non-sarcastic
Ayodhya wale kattar hi...jade ha face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
"It is just fandom when Elvish yadav won he was followed with huge rally, he was awarded by Haryana CM aus time godi media ko popularization yaad nahi ata",non-sarcastic
jb paise nhi milenge inhe tb bhi akal nhi ayegi ki congress ne hamesha desh ko barbad kiya h or age bhi krti rahengi,non-sarcastic
abe pehle ande me se to nikal ja face_with_tears_of_joy face_with_tears_of_joy,sarcastic
suno randiyo hamare jay sri ram the jinda hai or jinda range bolo jay shree ram,sarcastic
Dhuruv r ke kitne baap clapping_hands clapping_hands,sarcastic
eenke layie to gali ka koi matlb he nahi hoga,non-sarcastic
rathi ne bola ki sitting cm ko eendia me pahli bar arrest kiya gya hai kyuki aaaj tk jitne v cm ko arrest kiya gya hai ya to wo cm ke pad se hat gye hai ya us time sitting cm nhi the,non-sarcastic
डरे हुए लोग हो तुम सब face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
enraged_face anatomical_heart peacock India boomerang anatomical_heart enraged_face,non-sarcastic
congress hmesha hindu virodhi rha hai,non-sarcastic
kiti ghetere hi ela kros bridingla ghaila lagel rotwhilr lavaila lagel mag samjel tila,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing ab khade raho line me ..abhi nikal k ayega Rahul gadhi face_with_tears_of_joy face_with_tears_of_joy . Jago hinduo jao abhi bhi time h samjho in Congress ke mansubo ko enraged_face,sarcastic
"bhai kisne iski leker payment nhi ki face_with_tears_of_joy ,jo itna naraz h",sarcastic
Maiya ch**d diye didi gravity ki to face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
jo neta free mein sab kuchh deta hai vah free mein desi bhej deta hai,sarcastic
Gravity ki maa ki choot rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Bro has premium membership life skull,non-sarcastic
vimal khake bolo zuba khesari skull,sarcastic
tari ma ka bhosda saly kbi mera samny rid kr tera ma chod dy gy,sarcastic
aapala aga toojha ghara tara boodhavaara pedhetacha aahe,non-sarcastic
Ghanta milega babaji ka thullu le lo ₹100000 face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
Your Godi only didn't speak about it Dicky.,sarcastic
bhehanchod ki gali ka udhghatan inhi se hua hai,non-sarcastic
ye dhurv ratho bhadwa h kya,sarcastic
bhai mai hota to jad deta fir jata thane sali baddimak,sarcastic
y anchor nhi land hai middle_finger,non-sarcastic
very good sir cheater ko winner bnadea bigg boss ka jo larkiyo ka drma zaleel kr k aya hai,sarcastic
Pata pat pata pat Lelo moye moye rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
don't worry 3.0 ane do 370 hat gya to ab ye bhi hat hi jayega,sarcastic
Jisko up se prob h Pakistan nikal le face_with_tears_of_joy,sarcastic
"Congress itni baar hari sirf 2 seat reh gai par usne kabi apne voter ko gali nahi di, par bjp vale face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy apne hi voter ko rojgar mangne pe face_with_tears_of_joy",sarcastic
Up wale hijde hai aaisa bolo crying_face,sarcastic
Bro that maa chod di really got me rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Isko kehte h Lode p bithana face_with_tears_of_joy,non-sarcastic
हमारे यहा ऐसा ही होता ह face_with_tears_of_joy grinning_squinting_face beaming_face_with_smiling_eyes,non-sarcastic
"dhruv tatti haramkhor hai kaun jis desh me h waha k bare me bol k dikhaye na jail chala jayega,, tbhi india gate ghumne aya aur khujliwal se paise leke uski chaplusi krta h,, wrna aj tk kaha tha ye , election k time hi aya kaise ye",sarcastic
Chacha on rock after one bottle of desi mountainstar face_with_tears_of_joy,non-sarcastic
ye sudhaanshu trivedee hai...bkl jarmana shepharda tere saare khaanadaana kaa itihaasa bataa denge smiling_face_with_sunglasses,sarcastic
red_heart da lagto face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Bhai jail bhejo confession dikha do bsss face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
hama bhee modee jee ke baada yogee jee ko pradhaanamantree banaaenge kyaa hemanta vishva sharmaa jee ko yaha donon jannata pahunchaa denge hara eka ko,sarcastic
aabe anpadh kejriwal guilty hai ye prove hi nhi kar paya koi. aab bol tujhe chutiya nhi bolu to kya bolu. sahi bol rha jo galti karega wo jayega hi par kajriwal ki galti kaha hai ye to bata face_with_tears_of_joy . sach me andhbhakt chutiye hi hote hai face_with_tears_of_joy .,sarcastic
pradhaanamantree banenge taba na denge check_mark_button,sarcastic
Tu bohot romantic hora hai bhen ke l#nd,sarcastic
Kay shree ram jay jay shree ram smiling_face_with_heart-eyes,non-sarcastic
dar ki ma ki chut moai skull,non-sarcastic
Ye to shahjah ki aulad hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic
nazhya baba ni jhaval ye tila,non-sarcastic
Abee tu chal abee raising_hands face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
eeseliye ata kam padgaya are uncle record todne se pehle ata ugaliya hota,non-sarcastic
dhruv rathee jinda hai ya chal base..,sarcastic
Bhai send this to dhruv rathee,non-sarcastic
jaba raama mandira kee tasveera aatee hai skreena pe taba anjanaa jee aapakaa penra mandira ko lagataa hai,sarcastic
"""darr ki ma ke bhosde mei five star""",non-sarcastic
JAY shree ram bhai triangular_flag flexed_biceps,non-sarcastic
eenki ma bhosda madrchod esa ku krr rhe h,non-sarcastic
चुटिया बना गया पप्पू सबको face_with_tears_of_joy,non-sarcastic
kahan hai tumhari masjid masjid ki to man chhup gai hai,sarcastic
Are bhai kuch nahi honga tuje maje kar apni sarkar hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
"Unnecessarily, india sent the covid vaccine to Canada to save these type of people.",sarcastic
babar bhi yahi sochta tha per aaaj usi ke sine ke upar bhavya shri ram nandir khada hai,non-sarcastic
jal rehi ha sab ki fire fire agg lagi ha en ka picha,non-sarcastic
ntlb wo bta rhi h condom ka use krna h unhen pelate taaima laaipha sikyora rahee rahegee seeta aise hee tho.de mila jaatee h,non-sarcastic
rahul gandhi vada kiye the ki unki sarkar banegi to mahilaon ke khate mein paisa jayegi lekin unki sarkar bani nahin to kahan se paise khate mein jaenge yah sochne wali bat hai,non-sarcastic
mhnun hicha navra hila sodun Gela face_with_tears_of_joy rolling_on_the_floor_laughing,non-sarcastic
tere modi ne bhi to wada kiya tha 5 lakh ka wo kahan hai..yeh to bta modi ke dalle,sarcastic
yahi bat hindu samajh nahi raha ki nuslim apne liye lad raha hai,sarcastic
tuje bacha hi nila kya video baneke liye,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ab do khata khat paise,sarcastic
waqf board ko band kar na hoga,non-sarcastic
"Home work bohot hi kaccha hain , next time acche se home work karke ana vaii rolling_on_the_floor_laughing",sarcastic
bhai kaha hat laga raha hai,sarcastic
