comment,label
congratulations on you celebrating british kid singers sophia grace's and rosie's 1st anniversary of a visit of your show . how,non_sarcastic
uske liye toh bahot kuch karna padega ye pappiyon se kam nahi chalega #forthesakeofhumanity,sarcastic
yehi to hum semjhane ki koshish kar rahe hain. log to sab kuch ko issi mein tol dete hain. …,non_sarcastic
cake kaha hai ??,non_sarcastic
i'm in hawaii at the moment . home next friday night . don't want to come home .,non_sarcastic
jeet ka jashn aur shubah ki shuruat â€” eating bread pakoda at tandon's cottage vaishali damoh,non_sarcastic
1 sookha puri aur dena,non_sarcastic
"natlab tum karishma nahin raveena ho? aaur woh jo karishma thi, woh ab kahan ravana hai? …",sarcastic
sachai ki jeet hogayi *ankho mein ansoo*,sarcastic
sahi me yar,non_sarcastic
kaun hai ye zaleel insan?,sarcastic
"han, uske khidki khuli thi jismein se baburao jhank raha tha.",sarcastic
yar confess karte ho ya torture . . . itna bada bada confession,sarcastic
"Tujhe sign up kar ke 1000 rs mere account me daalne padenge, tab hi recharge ho payega.",non_sarcastic
"niss u msd "" adat ho gayi hai apko captain dekhte hue .. #dhoni",non_sarcastic
"note ye application google playstore se download hogi , toh fake toh ho hi nahi sakti "" . . .",non_sarcastic
bas kabhi ghamand nahi kiya.,sarcastic
ye bhasha kahan se sikha hai?,sarcastic
sure bhai,non_sarcastic
"ye kaun se channel par aur kab ata hai? batao, zara hum bhi toh dekhe!",non_sarcastic
agar ayesi he baat hai toh peechley 15 saalo se bjp waaley congress ke khilaf apna 'prattyashi' kyu khara kartey thein delhi vidhansabha election mein . . . ?,non_sarcastic
kya hogaya aisa?,non_sarcastic
unhone pehle pic ni dkhi ti kya tmhari jo milne k bad hi ignore kia tmhe . . . ?,non_sarcastic
"mai to itne games me b bas ninja turtles , street fighter , car race and mario khel kar khush tha baki games par dhyan dene ka tym kiske pas tha :-d",non_sarcastic
is rishtewad se azadi,sarcastic
bahut log hai jo apse bat karna chahte hai..plzzzzzz dn't brk thr hearts sir plzzzz,sarcastic
ab voh bola jisne kisi bhi party ko support karne se mana kardiya tha . . a flop show annaji,sarcastic
kone wale plot me jagah zyada hoti hai,non_sarcastic
sala #olympics k game bhare rehte the isme . . . . dhokebaaz,sarcastic
cha cha ? ab seedha #trump nazar ane laga ? kasab se trump tak ?,sarcastic
bahot time bad suna ye! aachha laga,non_sarcastic
"kuch nahi samjha kabhi, itne sare cheezon se deal karna ata toh shayad life mein succesfull hota.",sarcastic
tharak sale har ladki ko mention karna hai tujhe,sarcastic
sahi hai,non_sarcastic
aaaj match hai na? ki kal?,non_sarcastic
yar tum ladke inne senti krne wale kam kyu krte ho ? ? ? :'(,sarcastic
text karo phr dekhtay hain,non_sarcastic
didi abhi apni me time hai,non_sarcastic
"aabe congressiyon, nigerians bhi insan hote hain, bandar nahin. kyon itna bura man gaye.",sarcastic
oct 30 its goin down at the congress theater i will be performing along wit machine gun kelly ! ! ! !,sarcastic
kitne dukh ki bat hai na,non_sarcastic
#tripletalaq ho ya divorce usshme koi matvate /rajnetic na hona chahiye. nahilayo ke ke liye sharaph ke saman hi hai. triple talaq ko roke.,sarcastic
tum ye karoge mere sath? naine aj tak tumhe kuch ulta bhi kahan hai? hadh hoti hai,non_sarcastic
wâ€¦ise tu boli nai ki hai kaha se,non_sarcastic
luncher paaji pehle chai k saath biscuit kha rahe the . .,non_sarcastic
"toh phir theek hai, aise kisi ladki ke t-shirt mein kuch bhi kaise dal sakta hai koi?",sarcastic
phir to twitter walon ki khush-naseebi hai,non_sarcastic
happy birthday dhoni & hello to sakshi bhabhi. aaur baki sab khairiyat?,non_sarcastic
"lol, phenk deta to bechare ka phir kat jata bill, isiliye lauta diya chup chap. #ekbhaikeliye",sarcastic
"did aarun lal say, ""ye dekhiye bangladeshi player khushi se apne andkosh takra rahe hain""",sarcastic
Sab kuch sahi chal raha tha life mai .. par Achanak Sony TV Dilwale movie ka telecast karne vali hai aaj raat ... why .. why ??,sarcastic
bhai bas kya hamesha sunny leone dikhau..,sarcastic
kuch pata hai students ke mehenge din agaye hai?? #gst laga diya hai bas kuch socha tha pehle?,sarcastic
ankh band karte hi shruti hassan nazar ati hai,sarcastic
gud mrng sir apko nahashivratri ki hardik mangalkamnaye,non_sarcastic
amazing day today . i can't wait for tomorrow,non_sarcastic
"sorry, mujhe laga rat ke 11.30 baje hai.",non_sarcastic
phone ka wallpaper dekhte dekhte zindagi kat rahi hai.,sarcastic
ye batli chahiye mujhe,sarcastic
#notebandi mein temporary ban to lag chuka hai 0 koi bat nahin hai !,non_sarcastic
"toh phir toh achhi bat hai nahi, mitthaiyan khilao!",non_sarcastic
ong kisi ne rt spree diya salo bad.. thanks *khushi ke,non_sarcastic
Brilliant Answer By Boy Friend on Break Up â€¦ . Girl,sarcastic
. ye aamit bhai ne nahi nuhammad aali ne kaha tha pagli,sarcastic
