Transliterated_Comment,final_label,
congratulations on you celebrating british kid singers sophia grace's and rosie's 1st anniversary of a visit of your show . how,non_sarcastic,
uske liye toh bahot kuch karna padega ye pappiyon se kam nahi chalega #forthesakeofhumanity,sarcastic,
yehi to hum semjhane ki koshish kar rahe hain. log to sab kuch ko issi mein tol dete hain. …,non_sarcastic,
cake kaha hai ??,non_sarcastic,
i'm in hawaii at the moment . home next friday night . don't want to come home .,non_sarcastic,
jeet ka jashn aur shubah ki shuruat â€” eating bread pakoda at tandon's cottage vaishali damoh,non_sarcastic,
1 sookha puri aur dena,non_sarcastic,
"natlab tum karishma nahin raveena ho? aaur woh jo karishma thi, woh ab kahan ravana hai? …",sarcastic,
sachai ki jeet hogayi *ankho mein ansoo*,sarcastic,
sahi me yar,non_sarcastic,
kaun hai ye zaleel insan?,sarcastic,
"han, uske khidki khuli thi jismein se baburao jhank raha tha.",sarcastic,
yar confess karte ho ya torture . . . itna bada bada confession,sarcastic,
"Tujhe sign up kar ke 1000 rs mere account me daalne padenge, tab hi recharge ho payega.",non_sarcastic,
"niss u msd "" adat ho gayi hai apko captain dekhte hue .. #dhoni",non_sarcastic,
"note ye application google playstore se download hogi , toh fake toh ho hi nahi sakti "" . . .",non_sarcastic,
bas kabhi ghamand nahi kiya.,sarcastic,
ye bhasha kahan se sikha hai?,sarcastic,
sure bhai,non_sarcastic,
"ye kaun se channel par aur kab ata hai? batao, zara hum bhi toh dekhe!",non_sarcastic,
agar ayesi he baat hai toh peechley 15 saalo se bjp waaley congress ke khilaf apna 'prattyashi' kyu khara kartey thein delhi vidhansabha election mein . . . ?,non_sarcastic,
kya hogaya aisa?,non_sarcastic,
unhone pehle pic ni dkhi ti kya tmhari jo milne k bad hi ignore kia tmhe . . . ?,non_sarcastic,
"mai to itne games me b bas ninja turtles , street fighter , car race and mario khel kar khush tha baki games par dhyan dene ka tym kiske pas tha :-d",non_sarcastic,
is rishtewad se azadi,sarcastic,
bahut log hai jo apse bat karna chahte hai..plzzzzzz dn't brk thr hearts sir plzzzz,sarcastic,
ab voh bola jisne kisi bhi party ko support karne se mana kardiya tha . . a flop show annaji,sarcastic,
kone wale plot me jagah zyada hoti hai,non_sarcastic,
sala #olympics k game bhare rehte the isme . . . . dhokebaaz,sarcastic,
cha cha ? ab seedha #trump nazar ane laga ? kasab se trump tak ?,sarcastic,
bahot time bad suna ye! aachha laga,non_sarcastic,
"kuch nahi samjha kabhi, itne sare cheezon se deal karna ata toh shayad life mein succesfull hota.",sarcastic,
tharak sale har ladki ko mention karna hai tujhe,sarcastic,
sahi hai,non_sarcastic,
aaaj match hai na? ki kal?,non_sarcastic,
yar tum ladke inne senti krne wale kam kyu krte ho ? ? ? :'(,sarcastic,
text karo phr dekhtay hain,non_sarcastic,
didi abhi apni me time hai,non_sarcastic,
"aabe congressiyon, nigerians bhi insan hote hain, bandar nahin. kyon itna bura man gaye.",sarcastic,
oct 30 its goin down at the congress theater i will be performing along wit machine gun kelly ! ! ! !,sarcastic,
kitne dukh ki bat hai na,non_sarcastic,
#tripletalaq ho ya divorce usshme koi matvate /rajnetic na hona chahiye. nahilayo ke ke liye sharaph ke saman hi hai. triple talaq ko roke.,sarcastic,
tum ye karoge mere sath? naine aj tak tumhe kuch ulta bhi kahan hai? hadh hoti hai,non_sarcastic,
wâ€¦ise tu boli nai ki hai kaha se,non_sarcastic,
luncher paaji pehle chai k saath biscuit kha rahe the . .,non_sarcastic,
"toh phir theek hai, aise kisi ladki ke t-shirt mein kuch bhi kaise dal sakta hai koi?",sarcastic,
phir to twitter walon ki khush-naseebi hai,non_sarcastic,
happy birthday dhoni & hello to sakshi bhabhi. aaur baki sab khairiyat?,non_sarcastic,
"lol, phenk deta to bechare ka phir kat jata bill, isiliye lauta diya chup chap. #ekbhaikeliye",sarcastic,
"did aarun lal say, ""ye dekhiye bangladeshi player khushi se apne andkosh takra rahe hain""",sarcastic,
Sab kuch sahi chal raha tha life mai .. par Achanak Sony TV Dilwale movie ka telecast karne vali hai aaj raat ... why .. why ??,sarcastic,
bhai bas kya hamesha sunny leone dikhau..,sarcastic,
kuch pata hai students ke mehenge din agaye hai?? #gst laga diya hai bas kuch socha tha pehle?,sarcastic,
ankh band karte hi shruti hassan nazar ati hai,sarcastic,
gud mrng sir apko nahashivratri ki hardik mangalkamnaye,non_sarcastic,
amazing day today . i can't wait for tomorrow,non_sarcastic,
"sorry, mujhe laga rat ke 11.30 baje hai.",non_sarcastic,
phone ka wallpaper dekhte dekhte zindagi kat rahi hai.,sarcastic,
ye batli chahiye mujhe,sarcastic,
#notebandi mein temporary ban to lag chuka hai 0 koi bat nahin hai !,non_sarcastic,
"toh phir toh achhi bat hai nahi, mitthaiyan khilao!",non_sarcastic,
ong kisi ne rt spree diya salo bad.. thanks *khushi ke,non_sarcastic,
Brilliant Answer By Boy Friend on Break Up â€¦ . Girl,sarcastic,
. ye aamit bhai ne nahi nuhammad aali ne kaha tha pagli,sarcastic,
Please follow & ye log free mein daaru pilaate hai. #AaiShappath,sarcastic,
ye kya hai?,non_sarcastic,
har aur jeet to khel ka hissa hai. ye wala bahut din taklif dega wo kissa hai.,sarcastic,
hamari kashti wahan doobi jahan pani kam tha,sarcastic,
abhi bhi hu,non_sarcastic,
mera motive kuch aur tha,non_sarcastic,
err ye le ek aur.,non_sarcastic,
guru ji ko pehchanne se inkar karne wale logon ko pakistani visa ke sath passport muft diya jaye. pranam.,sarcastic,
"yar, koi ye bata do ke yeh ladki hai …",sarcastic,
. han khush ho ja pakistani,sarcastic,
_/\_ seer. rulaoge kya?,sarcastic,
eendia aur sri lanka ek hi hai sir,sarcastic,
ultimate yarrr . . . . just love it,non_sarcastic,
eesee ko bulao vote dene ke liye,sarcastic,
"bas aise hi reviews ki zaroorat hai, kafi protsahan milta hai in baton se.",sarcastic,
"sahi hai, bada admi hai tu. kya chal raha hai? kab milna?",sarcastic,
ye bohot pehle ho chuka hai …,non_sarcastic,
salmannnnn aa intezar idhar ? tere liye ?,sarcastic,
arey kabhi kabhi toh ap dhang ki bat karte ho,sarcastic,
hahaha.. bhai shave kar lena,sarcastic,
mujhe to bas ek tera sahara hai..,sarcastic,
haha.. natlab ab date yad dilaoge,sarcastic,
khusi hui tumhara janamdin aya,sarcastic,
use to gate se bahar hote hi utarna compulsory tha . . .,sarcastic,
kahi rajnikant to nhi tha . .,sarcastic,
man hi nahi rahe hai,non_sarcastic,
keerthi ! lets open a ngo together ! toote dil ke marezon ke liyea,sarcastic,
india kbhi bhi china ko peeeche nhi kr paega.....,non_sarcastic,
That Spin ! Ravi Ashwin . Kuch nai ho sakta bhai Africa ka World Cups mei .. #Mauka #IndvsSA #cwc15,sarcastic,
t . v . off guddu: mummy . . . . . khane me kya hai .,sarcastic,
chalk churane ka bhi apna maza tha . .,non_sarcastic,
"ji bilkul, iss bat ka toh inkar nahi kar sakte.",non_sarcastic,
"sabko bacha kaho,sirf mere ilawa ok",sarcastic,
ek nahi mili ab tak </3,sarcastic,
mujhe bhi dena zara 5 rs ke.. bhookh lagi hai,sarcastic,
"bahut badiya , bahut hi unda , kya bat , kya bat . dil jit liya tune toh . . .",sarcastic,
Everyone on TL is thanking their Moms.. Bhai aiyaashi karne ke paise to Papa hi dete hai na.. #ThankYouPapa,sarcastic,
tanmay jail ko hi kha jata,non_sarcastic,
"Shakti bechara kabhi kuch bolta nahi hai, he is like a husband eve n before marriage.",sarcastic,
phone dekhne mein taqleef hai kya?,sarcastic,
bas badiya sab.. oopar wale ka sahara hai.. aabhi chai pee rahe hai,sarcastic,
zamana kharab hai.. shine lajawab hai: … #laggayivat shine,sarcastic,
"hello sadu sahab (senior bro in law), ki hal chal?",non_sarcastic,
jabatdast dost . . . . 1 page me rula diya yaar . . . . . kamaal hai . . . . superb nd hatss off to ur crearivity . . .,sarcastic,
mujhe laga sab bhool gaye honge #sentee,sarcastic,
salman khan kaha ho?,sarcastic,
pagal aurat hai,sarcastic,
atleast jise thand lagti ho use de diya karo,non_sarcastic,
"hii sir , apse milne ka sirf ek mauka chahta hu. ....",non_sarcastic,
"... abhi aayega rukiye "" : Once upon a time there was a hashtag #RailBudget2015 """,sarcastic,
bhai ajkal sab ke pas 4-4 car hai.. aab to kisi series me helicopter gift hoga tab maza ayega,sarcastic,
aaaj eendrani ka kitne naye patiyo ka pata chala.. koi update karega?,sarcastic,
"kuch nahi, ek tweet padh ke gussa a gaya :/",sarcastic,
cheapest nahi pucha. Best pucha hai.,sarcastic,
ye dekh lo dooneeyaa …,sarcastic,
aaaj kal yeh hi bikta hai bhai!,non_sarcastic,
dhoni bhai ek din ball tod hi denge!,sarcastic,
Bhai kuch kal ke liye bhi chhod de.. RT #KejriwalTakesOath: I hope that India wins the World Cup,sarcastic,
missing dat tym . . . happy new year all . . . .,non_sarcastic,
i love my girl evelyn at work she switched shifts with me saturday,non_sarcastic,
"Hi Congress, today do we have Rajiv Gandhi Janma Diwas Sabko Daru Free Party Yojana?",sarcastic,
sooo creative . . u guys r awsummm .,non_sarcastic,
bahot hi …,non_sarcastic,
ye dekh!,non_sarcastic,
mujhe toh nahi aya phone :'(,non_sarcastic,
"rahul gandhi kuch bhi kar le, log use pappu hi samjhenge.",sarcastic,
aaj ya #windies larkia leke jaegi ya boys .. #wt20 #weeveng #aauswvweew #wt20final,sarcastic,
bahut bold hain ap,sarcastic,
rt : cine stars ki khoj in #aatsu & #zara ! #haider #2ndoct,non_sarcastic,
"chain ik pal nahi "" aur koi hal nahi "" #jio ni ~ other operators 0",sarcastic,
how do y'all feel about moving presidents day to august ? august lacks a three day weekend . then make lincoln's b-day a day off too . #boom,sarcastic,
sir ap badal gaye ho. aaajkal milte hi nahi ho. kitna wait kiya apka ghar ke bahar,sarcastic,
"sunil, tu aur main janta mein ja kar piyenge",non_sarcastic,
"nahi liya hai, not worth it",non_sarcastic,
aur free wifi bhi wahi hai. lol,sarcastic,
jokeya .... accha kiya,non_sarcastic,
guddu k papa toh emotional ho gye . . . .,sarcastic,
"kya yar, sarcasm nahi samajhte",sarcastic,
"tu hai meri kiran' ~ne, to sunshine",sarcastic,
"""Mhari chhoriyan chhoron se kam hain …",sarcastic,
baby holiday gabbar jaisi awesome movies akki hi kar sakta hai.. #weloveaakshay,non_sarcastic,
