Table 1,,,,
Comments,Sarcastic(s)/Non-sarcastic(ns),,,
"shah ka ek comment aur media walle peeche bhage , waise hee mere manwa mai emotions jage",S,,,
arey bhai pm ho . . desh ko ullu mat banao !,Ns,,,
ye to prasad bhi leke aya hoga,Ns,,,
aj vrat rakha hai ?,Ns,,,
crores logon mein ye chand sans lete hanfnewale netaon ne poore pradesh ki sanse kaise rok di,S,,,
maine janeman bdekhi thi don nahi,S,,,
aagar aur ek meeting ho gayi toh recession bhi sabse pehle a jaega. #gst,S,,,
accha hua packet pe chips likh diya varna pata hi nhi chalta kya kha raha h udbilau . .,S,,,
#gratitudetoaallnothers aamazing video pita ji love u lot,Ns,,,
isko khana nahi hota hai.,Ns,,,
rt : ye nalayak out bhi honge aur galiyan bhi khayenge #eendvspak,Ns,,,
so ko economist banana tha isliye modiji ne desh ko gareeb banaya. aab samza #denonetisation aur #gst ka game.,S,,,
hamare college me laddu k jgh pedha diye . . .,Ns,,,
"best part hai woh, likhna sach mein bhi ulta hi chahta hai woh dikh jayega, tweets mein zyada badlav nahi honge.",Ns,,,
RT : 2 - with Kenny bates action producer and Nirav shah DOP at Nehru stadium Delhi .,Ns,,,
galli galli mein phirta hai tu kyun ban ke banjara????,Ns,,,
hatim tai ka beta lag raha …,Ns,,,
Haye hamari #RightToPrivacy kahana gayi #RightToPrivacyVerdict,Ns,,,
ye mera gaon hai aur main is gaon ka singham #,S,,,
"See the level of people doing phd , i dnt know wat shit they will teach to students ?",Ns,,,
Janta ne es jeet se dekha diya ha #GST #Demonetisation safal ha. Opposition ne bht koshish ki par asafal rhe. Ab Gujrat aur Himachal bhi aase he jeetenge,Ns,,,
mujhe kyu tag kiya hai,Ns,,,
shadi main jyada kuch aya nahi. car bhi maruti di hai.,S,,,
dus bahane kar ke bharwa di bill.,Ns,,,
thank you sir...umeed karta hun meri wajah se apko koi dost nahin ganwana padega,Ns,,,
nujhe bhi koi book me jagah de …,Ns,,,
bajrangi bhaijan kitni bar dekhi ?,Ns,,,
yeh bhi theek kahan hai tumne mohtarma!,Ns,,,
sale mere kandhe pe rakh kar bandook mat chalao,S,,,
yeh sab #trump ki wajah se ho raha hai 0 #eendvsaaoos,Ns,,,
"ek dooni do, do dooni char kar do #lalunuktbihar #ndl",Ns,,,
mere pass ye 2013 wala bhi hai …,Ns,,,
"#goodaadviceeen4words ""char log kya kahenge"" - eendians",S,,,
