Original_Comment,Cleaned_Comment
@someUSER congratulations on you celebrating british kid singers sophia grace's and rosie's 1st anniversary of a visit of your show .  how,congratulations on you celebrating british kid singers sophia grace's and rosie's 1st anniversary of a visit of your show . how
@LoKarDi_RT uske liye toh bahot kuch karna padega ye pappiyon se kaam nahi chalega #ForTheSakeOfHumanity,uske liye toh bahot kuch karna padega ye pappiyon se kam nahi chalega #forthesakeofhumanity
@slimswamy yehi to hum semjhane ki koshish kar rahe hain. Log to sab kuch ko issi mein tol dete hain. Context:http://www.opindia.com/2015/02/buzzfeed-editor-tries-to-make-political-tweets-you-wont-believe-what-happened-next/ …,yehi to hum semjhane ki koshish kar rahe hain. log to sab kuch ko issi mein tol dete hain. …
@DramebaazKudi cake kaha hai ??,cake kaha hai ??
@someUSER i'm in hawaii at the moment .  home next friday night .  don't want to come home .,i'm in hawaii at the moment . home next friday night . don't want to come home .
Jeet ka jashn aur shubah ki shuruat â€” eating bread pakoda at Tandon's Cottage Vaishali Damoh https://t.co/ix2dB9b1Iv,jeet ka jashn aur shubah ki shuruat â€” eating bread pakoda at tandon's cottage vaishali damoh
1 sookha puri aur dena bhaiyapic.twitter.com/FvLEv3onxZ,1 sookha puri aur dena
"Matlab tum Karishma nahin Raveena ho? Aur woh jo Karishma thi, woh ab kahan ravana hai? https://twitter.com/The_Karishma/status/499234729262997506?s=03 …","natlab tum karishma nahin raveena ho? aaur woh jo karishma thi, woh ab kahan ravana hai? …"
"Sachai ki jeet hogayi
*aankho mein aansoo*",sachai ki jeet hogayi *ankho mein ansoo*
@Vyomnaut sahi me yaar,sahi me yar
kaun hai ye zaleel insaan?,kaun hai ye zaleel insan?
"Haan, uske khidki khuli thi jismein se baburao jhaank raha tha.","han, uske khidki khuli thi jismein se baburao jhank raha tha."
yaar confess karte ho ya torture  .  .  .  itna bada bada confession,yar confess karte ho ya torture . . . itna bada bada confession
"@LoKarDi_RT Tujhe sign up kar ke 1000 rs mere account me daalne padenge, tab hi recharge ho payega.","Tujhe sign up kar ke 1000 rs mere account me daalne padenge, tab hi recharge ho payega."
"Miss u msd "" aadat ho gayi hai aapko captain dekhte hue .. #Dhoni","niss u msd "" adat ho gayi hai apko captain dekhte hue .. #dhoni"
"note ye application google playstore se download hogi  ,  toh fake toh ho hi nahi sakti ""  .  .  . ","note ye application google playstore se download hogi , toh fake toh ho hi nahi sakti "" . . ."
bas kabhi ghamand nahi kiya.,bas kabhi ghamand nahi kiya.
Ye bhasha kahan se sikha hai?,ye bhasha kahan se sikha hai?
@dhaval241086 sure bhai :),sure bhai
"@MohitParmarr ye kaun se channel par aur kab aata hai? Batao, zara hum bhi toh dekhe!","ye kaun se channel par aur kab ata hai? batao, zara hum bhi toh dekhe!"
agar ayesi he baat hai toh peechley 15 saalo se bjp waaley congress ke khilaf apna 'prattyashi' kyu khara kartey thein delhi vidhansabha election mein .  .  .  ?,agar ayesi he baat hai toh peechley 15 saalo se bjp waaley congress ke khilaf apna 'prattyashi' kyu khara kartey thein delhi vidhansabha election mein . . . ?
@YouDontKnowWho_ kya hogaya aisa?,kya hogaya aisa?
unhone pehle pic ni dkhi ti kya tmhari jo milne k baad hi ignore kia tmhe  .   .   .   ?,unhone pehle pic ni dkhi ti kya tmhari jo milne k bad hi ignore kia tmhe . . . ?
"mai to itne games me b bas ninja turtles ,  street fighter ,  car race and mario khel kar khush tha baki games par dhyan dene ka tym kiske pas tha :-d","mai to itne games me b bas ninja turtles , street fighter , car race and mario khel kar khush tha baki games par dhyan dene ka tym kiske pas tha :-d"
@GhantaGuy is rishtewaad se azaadi,is rishtewad se azadi
Bahut log hai jo aapse baat karna chahte hai..plzzzzzz dn't brk thr hearts sir plzzzz,bahut log hai jo apse bat karna chahte hai..plzzzzzz dn't brk thr hearts sir plzzzz
ab voh bola jisne kisi bhi party ko support karne se mana kardiya tha .  . a flop show annaji,ab voh bola jisne kisi bhi party ko support karne se mana kardiya tha . . a flop show annaji
@whycarewho kone wale plot me jagah zyada hoti hai :),kone wale plot me jagah zyada hoti hai
sala #olympics k game bhare rehte the isme  .  .  .  .  dhokebaaz >_<,sala #olympics k game bhare rehte the isme . . . . dhokebaaz
cha cha ? ab seedha #Trump nazar aane laga ? Kasab se Trump tak ?,cha cha ? ab seedha #trump nazar ane laga ? kasab se trump tak ?
Bahot time baad suna ye! Achha laga,bahot time bad suna ye! aachha laga
"kuch nahi samjha kabhi, itne saare cheezon se deal karna aata toh shayad life mein succesfull hota.","kuch nahi samjha kabhi, itne sare cheezon se deal karna ata toh shayad life mein succesfull hota."
@iamGunjanGrunge Tharak saale har ladki ko mention karna hai tujhe @brawling_virago @Atheist_Krishna,tharak sale har ladki ko mention karna hai tujhe
@thisisAparajita sahi hai :(,sahi hai
@Alllahdin Aaj match hai na? Ki kal?,aaaj match hai na? ki kal?
yaar tum ladke inne senti krne wale kaam kyu krte ho  ?  ?  ?  :'(,yar tum ladke inne senti krne wale kam kyu krte ho ? ? ? :'(
@Annu__k text karo phr dekhtay hain,text karo phr dekhtay hain
@mamtan14 didi abhi apni me time hai,didi abhi apni me time hai
"Abe Congressiyon, Nigerians bhi insaan hote hain, bandar nahin. Kyon itna bura maan gaye.","aabe congressiyon, nigerians bhi insan hote hain, bandar nahin. kyon itna bura man gaye."
oct 30 its goin down at the congress theater i will be performing along wit machine gun kelly !  !  !  !  http/URL,oct 30 its goin down at the congress theater i will be performing along wit machine gun kelly ! ! ! !
kitne dukh ki baat hai na :(,kitne dukh ki bat hai na
#TripleTalaq ho ya Divorce usshme koi matvate /Rajnetic Na hona chahiye. Mahilayo ke ke liye sharaph ke saman hi hai. Triple Talaq ko roke.,#tripletalaq ho ya divorce usshme koi matvate /rajnetic na hona chahiye. nahilayo ke ke liye sharaph ke saman hi hai. triple talaq ko roke.
tum ye karoge mere saath? Maine aaj tak tumhe kuch ulta bhi kahan hai? Hadh hoti hai,tum ye karoge mere sath? naine aj tak tumhe kuch ulta bhi kahan hai? hadh hoti hai
wâ€¦ise tu boli nai ki hai kaha se,wâ€¦ise tu boli nai ki hai kaha se
luncher paaji pehle chai k saath biscuit kha rahe the .  .,luncher paaji pehle chai k saath biscuit kha rahe the . .
"@aanchalator toh phir theek hai, aise kisi Ladki ke T-shirt mein kuch bhi kaise daal sakta hai koi?","toh phir theek hai, aise kisi ladki ke t-shirt mein kuch bhi kaise dal sakta hai koi?"
@twinitisha phir to twitter walon ki khush-naseebi hai :),phir to twitter walon ki khush-naseebi hai
Happy Birthday Dhoni & Hello to Sakshi bhabhi. Aur baaki sab khairiyat?,happy birthday dhoni & hello to sakshi bhabhi. aaur baki sab khairiyat?
"LOL, phenk deta to bechare ka phir kat jaata bill, isiliye lauta diya chup chaap. #EkBhaiKeLiye","lol, phenk deta to bechare ka phir kat jata bill, isiliye lauta diya chup chap. #ekbhaikeliye"
"Did Arun Lal say, ""Ye dekhiye Bangladeshi player khushi se apne andkosh takra rahe hain""","did aarun lal say, ""ye dekhiye bangladeshi player khushi se apne andkosh takra rahe hain"""
Sab kuch sahi chal raha tha life mai .. par Achanak Sony TV Dilwale movie ka telecast karne vali hai aaj raat ... why .. why ??,Sab kuch sahi chal raha tha life mai .. par Achanak Sony TV Dilwale movie ka telecast karne vali hai aaj raat ... why .. why ??
@Atheist_Krishna bhai bas kya hamesha Sunny Leone dikhau..,bhai bas kya hamesha sunny leone dikhau..
@narendramodi kuch pata hai students ke mehenge din agaye hai?? #gst laga diya hai bas kuch socha tha pehle?,kuch pata hai students ke mehenge din agaye hai?? #gst laga diya hai bas kuch socha tha pehle?
@Gott_Partikel aankh band karte hi shruti hassan nazar aati hai :(,ankh band karte hi shruti hassan nazar ati hai
@pandyas0599 Gud mrng sir aapko Mahashivratri ki hardik mangalkamnaye :),gud mrng sir apko nahashivratri ki hardik mangalkamnaye
amazing day today .  i can't wait for tomorrow,amazing day today . i can't wait for tomorrow
"Sorry, mujhe laga raat ke 11.30 baje hai.","sorry, mujhe laga rat ke 11.30 baje hai."
Phone ka wallpaper dekhte dekhte zindagi kat rahi hai.,phone ka wallpaper dekhte dekhte zindagi kat rahi hai.
@sayshardik @pintubaba_ Ye baatli chahiye mujhe :(,ye batli chahiye mujhe
#NoteBandi mein Temporary Ban to lag Chuka hai 0 Koi baat nahin hai !,#notebandi mein temporary ban to lag chuka hai 0 koi bat nahin hai !
"Toh phir toh achhi baat hai nahi, mitthaiyan khilao!","toh phir toh achhi bat hai nahi, mitthaiyan khilao!"
"OMG kisi ne RT spree diya saalo baad.. Thanks @SahiDisha 

*khushi ke aansu*pic.twitter.com/P75DZ5jPkk",ong kisi ne rt spree diya salo bad.. thanks *khushi ke
Brilliant Answer By Boy Friend on Break Up â€¦ . Girl ,Brilliant Answer By Boy Friend on Break Up â€¦ . Girl
.@RanaAyyub ye Amit bhai ne nahi Muhammad Ali ne kaha tha pagli,. ye aamit bhai ne nahi nuhammad aali ne kaha tha pagli
"Please follow @SaleemChikna & @sayshardik, ye log free mein daaru pilaate hai. #AaiShappath",Please follow & ye log free mein daaru pilaate hai. #AaiShappath
@Perrignrr  ye kya hai?,ye kya hai?
Haar aur Jeet to khel ka hissa hai. Ye wala bahut din taklif dega wo kissa hai.,har aur jeet to khel ka hissa hai. ye wala bahut din taklif dega wo kissa hai.
@Kahaanify hamari kashti wahan doobi jahan paani kam tha,hamari kashti wahan doobi jahan pani kam tha
@sagarcasm abhi bhi hu ,abhi bhi hu
@BeingMSD mera motive kuch aur tha,mera motive kuch aur tha
err @DefucktiveHumor ye le ek aur.,err ye le ek aur.
@RoflGandhi_ @infinite_aMy Guru ji ko pehchanne se inkar karne wale logon ko Pakistani visa ke sath passport muft diya jaaye. Pranam.,guru ji ko pehchanne se inkar karne wale logon ko pakistani visa ke sath passport muft diya jaye. pranam.
"Yaar, koi ye bata do ke yeh ladki hai kaun?https://twitter.com/Sarcaism_/status/733178336147562496 …","yar, koi ye bata do ke yeh ladki hai …"
.@sagarikaghose haan khush ho jaa Pakistani @IndianExpress,. han khush ho ja pakistani
_/\_ SIR. Rulaoge kya?,_/\_ seer. rulaoge kya?
@MildlyClassic India aur Sri lanka ek hi hai sir,eendia aur sri lanka ek hi hai sir
ultimate yarrr .  .  .  .  just love it,ultimate yarrr . . . . just love it
@narendramodi ISI ko bulao vote dene ke liye,eesee ko bulao vote dene ke liye
"Bas aise hi reviews ki zaroorat hai, kaafi protsahan milta hai in baaton se. ","bas aise hi reviews ki zaroorat hai, kafi protsahan milta hai in baton se."
"@akshaykanitkar Sahi hai, bada aadmi hai tu. Kya chal raha hai? Kab milna?","sahi hai, bada admi hai tu. kya chal raha hai? kab milna?"
"ye bohot pehle ho chuka hai https://twitter.com/BolshoyBooze/status/595267739297587200 …
@Dukhi_Engineer",ye bohot pehle ho chuka hai …
Salmannnnn aaa intezaar idhar ? tere liye ?,salmannnnn aa intezar idhar ? tere liye ?
@PratMitt @GabbbarSingh @c_aashish arey kabhi kabhi toh aap dhang ki baat karte ho :P,arey kabhi kabhi toh ap dhang ki bat karte ho
@BUnlimted hahaha.. Bhai @Champ_Nikk  shave kar lena,hahaha.. bhai shave kar lena
@huh_watnow mujhe to bas ek tera sahara hai..,mujhe to bas ek tera sahara hai..
@nickhunterr hahaa.. Matlab ab date yaad dilaoge  @twinitisha,haha.. natlab ab date yad dilaoge
@Bihar_ke_lala khusi hui tumhara janamdin aaya,khusi hui tumhara janamdin aya
use to gate se bahar hote hi utarna compulsory tha .  .  .  ,use to gate se bahar hote hi utarna compulsory tha . . .
kahi rajnikant to nhi tha .  .,kahi rajnikant to nhi tha . .
@sureshnakhua maan hi nahi rahe hai,man hi nahi rahe hai
Keerthi ! lets open a NGO together ! toote dil ke marezon ke liyea,keerthi ! lets open a ngo together ! toote dil ke marezon ke liyea
india kbhi bhi china ko peeeche nhi kr paaega.....,india kbhi bhi china ko peeeche nhi kr paega.....
That Spin ! Ravi Ashwin . Kuch nai ho sakta bhai Africa ka World Cups mei .. #Mauka #IndvsSA #cwc15,That Spin ! Ravi Ashwin . Kuch nai ho sakta bhai Africa ka World Cups mei .. #Mauka #IndvsSA #cwc15
t . v . off guddu: mummy .  .  .  .  . khane me kya hai .,t . v . off guddu: mummy . . . . . khane me kya hai .
chalk churane ka bhi apna maza tha .  . :),chalk churane ka bhi apna maza tha . .
"ji bilkul, iss baat ka toh inkaar nahi kar sakte.","ji bilkul, iss bat ka toh inkar nahi kar sakte."
"Sabko bacha kaho,sirf mere ilawa ok","sabko bacha kaho,sirf mere ilawa ok"
@sahilmjain ek nahi mili ab tak </3,ek nahi mili ab tak </3
@Babu_Bhaiyaa mujhe bhi dena zara 5 rs ke.. Bhookh lagi hai,mujhe bhi dena zara 5 rs ke.. bhookh lagi hai
"bahut badiya ,  bahut hi undaa ,  kya baat ,  kya baat .  dil jit liya tune toh .  .  .  :d","bahut badiya , bahut hi unda , kya bat , kya bat . dil jit liya tune toh . . ."
"Everyone on TL is thanking their Moms.. Bhai aiyaashi karne ke paise to Papa hi dete hai na.. 

#ThankYouPapa",Everyone on TL is thanking their Moms.. Bhai aiyaashi karne ke paise to Papa hi dete hai na.. #ThankYouPapa
@iamGunjanGrunge Tanmay jail ko hi kha jata ,tanmay jail ko hi kha jata
"@BolshoyBooze Shakti bechara kabhi kuch bolta nahi hai, he is like a husband eve n before marriage.","Shakti bechara kabhi kuch bolta nahi hai, he is like a husband eve n before marriage."
Phone dekhne mein taqleef hai kya?,phone dekhne mein taqleef hai kya?
@balliawalebaba bas badiya sab.. Upar wale ka sahara hai.. Abhi chai pee rahe hai :),bas badiya sab.. oopar wale ka sahara hai.. aabhi chai pee rahe hai
"@rsairajeswari Zamana kharaab hai.. Shine lajawaab hai: https://www.youtube.com/watch?v=CK4rf9T6OrI … #LagGayiVaat 
Shine",zamana kharab hai.. shine lajawab hai: … #laggayivat shine
"@Ra_Bies Hello saadu saahab (senior bro in law), ki haal chaal?","hello sadu sahab (senior bro in law), ki hal chal?"
jabatdast dost .  .  .  .  1 page me rula diya yaar .  .  .  .  . kamaal hai .  .  .  . superb nd hatss off to ur crearivity .  .  .,jabatdast dost . . . . 1 page me rula diya yaar . . . . . kamaal hai . . . . superb nd hatss off to ur crearivity . . .
@MissKhushiSen mujhe laga sab bhool gaye honge #SENTI,mujhe laga sab bhool gaye honge #sentee
Salman khan kaha ho?,salman khan kaha ho?
@MeetUunngLee pagal aurat hai,pagal aurat hai
atleast jise thand lagti ho use de diya karo :),atleast jise thand lagti ho use de diya karo
"Hiii sir , aapse milne kaa sirf ek maaukaa chaahtaa hu.  ....","hii sir , apse milne ka sirf ek mauka chahta hu. ...."
"... abhi aayega rukiye "" @mehrishisumati : Once upon a time there was a hashtag #RailBudget2015 ""","... abhi aayega rukiye "" : Once upon a time there was a hashtag #RailBudget2015 """
@Ojasism bhai aajkal sab ke paas 4-4 car hai.. Ab to kisi series me Helicopter gift hoga tab maza aayega,bhai ajkal sab ke pas 4-4 car hai.. aab to kisi series me helicopter gift hoga tab maza ayega
Aaj Indrani ka kitne naye patiyo ka pata chala.. Koi update karega?,aaaj eendrani ka kitne naye patiyo ka pata chala.. koi update karega?
"@loveOKplease kuch nahi, ek tweet padh ke gussa aa gaya :/","kuch nahi, ek tweet padh ke gussa a gaya :/"
cheapest nahi pucha. Best pucha hai.,cheapest nahi pucha. Best pucha hai.
YE DEKH LO DUNIYA WALO..https://twitter.com/Winkerbell_/status/661805356947927040 …,ye dekh lo dooneeyaa …
Aaj kal yeh hi bikta hai bhai!,aaaj kal yeh hi bikta hai bhai!
Dhoni bhai ek din ball tod hi denge!,dhoni bhai ek din ball tod hi denge!
"Bhai kuch kal ke liye bhi chhod de..

RT @EconomicTimes #KejriwalTakesOath: I hope that India wins the World Cup",Bhai kuch kal ke liye bhi chhod de.. RT #KejriwalTakesOath: I hope that India wins the World Cup
missing dat tym .  .  .  happy new year all .  .  .  .,missing dat tym . . . happy new year all . . . .
i love my girl evelyn at work she switched shifts with me saturday:),i love my girl evelyn at work she switched shifts with me saturday
"Hi Congress, today do we have Rajiv Gandhi Janma Diwas Sabko Daru Free Party Yojana?","Hi Congress, today do we have Rajiv Gandhi Janma Diwas Sabko Daru Free Party Yojana?"
sooo creative .  .  u guys r awsummm .  :),sooo creative . . u guys r awsummm .
Bahot hi undaa!https://twitter.com/Madan_Chikna/status/654533563803660289 …,bahot hi …
@Alllahdin Ye dekh! pic.twitter.com/mf0QwulkQe,ye dekh!
